mentions_id,start_id,end_id,times
296586,88334,88206,1
296587,95396,80241,1
296588,59994,88246,1
296589,60422,90056,1
296590,83782,83569,1
296591,86324,85309,1
296592,61037,98061,1
296593,76046,88841,1
296594,61353,98149,1
296595,60481,97914,1
296596,77488,99135,1
296597,77656,96465,1
296598,77378,96724,1
296599,68520,73795,1
296600,74836,96123,1
296601,59967,96207,1
296602,63828,96434,1
296603,95824,69197,1
296604,79409,99401,1
296605,61362,98026,1
296606,98246,61678,1
296607,98246,89423,1
296608,85244,85146,1
296609,94981,70778,1
296610,96175,95135,1
296611,98626,98615,1
296612,58153,97450,1
296613,58153,57263,1
296614,70126,96155,1
296615,75926,96660,1
296616,62135,98354,1
296617,79870,79854,1
296618,57583,57933,1
296619,62336,64471,1
296620,81320,94737,1
296621,57523,97325,1
296622,63293,63255,1
296623,64422,73795,1
296624,78549,64463,1
296625,86477,85150,1
296626,86477,85174,1
296627,95158,95264,1
296628,58385,86737,1
296629,83560,99596,1
296630,59206,97253,1
296631,61219,61034,1
296632,61219,61536,1
296633,79193,97407,1
296634,62387,96338,1
296635,82650,96760,1
296636,86385,86132,1
296637,69722,87002,1
296638,69722,65030,1
296639,56950,79100,1
296640,61546,98043,1
296641,60972,61034,1
296642,85674,85534,1
296643,85401,85174,1
296644,85401,85177,1
296645,85401,85197,1
296646,85401,85150,1
296647,77460,99123,1
296648,61917,98303,1
296649,83408,75812,1
296650,82967,98977,3
296651,82967,80265,1
296652,77746,89348,1
296653,61983,98317,1
296654,98881,65260,1
296655,61874,70761,1
296656,62012,61622,1
296657,71573,74628,1
296658,62016,98325,1
296659,62017,62042,1
296660,81566,96929,1
296661,97552,97552,1
296662,80371,79100,1
296663,98047,61184,1
296664,60387,98939,1
296665,61834,61678,1
296666,64018,95694,1
296667,85949,87456,1
296668,77526,97606,1
296669,85933,85902,1
296670,85933,87456,1
296671,87061,87120,1
296672,62585,98537,1
296673,61681,98246,1
296674,79314,99393,1
296675,63249,98647,1
296676,63249,98710,1
296677,63249,61796,2
296678,62673,98537,1
296679,79774,71473,1
296680,85320,61034,1
296681,87134,86837,1
296682,87134,87013,1
296683,87134,86533,1
296684,87134,86833,1
296685,87134,86975,1
296686,99045,89442,1
296687,85393,85177,1
296688,66995,65041,1
296689,76415,98926,1
296690,64061,98802,1
296691,83367,83204,1
296692,98202,98043,1
296693,88063,88080,1
296694,98836,66524,1
296695,61594,61678,2
296696,61594,98325,1
296697,61594,61655,1
296698,61594,98225,1
296699,61594,98226,1
296700,61594,61594,1
296701,69545,70099,1
296702,76079,65822,1
296703,62694,98814,1
296704,83622,83098,1
296705,84305,84055,1
296706,84305,84305,1
296707,61581,61506,1
296708,98883,88229,1
296709,56630,57263,1
296710,56630,92190,1
296711,76537,80241,1
296712,77810,92276,1
296713,77810,64463,1
296714,69458,80778,1
296715,76938,83848,1
296716,76654,98961,1
296717,98882,64337,1
296718,86032,85781,1
296719,76663,92285,1
296720,74118,96512,1
296721,62686,88246,1
296722,78705,99336,1
296723,74245,61536,1
296724,74245,96929,1
296725,74245,85676,1
296726,76563,96724,1
296727,57715,57910,1
296728,63844,98757,1
296729,63844,61512,1
296730,85282,85214,1
296731,85282,85230,1
296732,58007,57775,1
296733,59754,76993,1
296734,56741,56578,1
296735,56741,56586,1
296736,98325,61678,1
296737,96176,96123,1
296738,67744,65368,1
296739,85134,86132,1
296740,85134,85230,1
296741,85134,85214,1
296742,85134,85208,1
296743,85134,96941,1
296744,59131,96153,1
