relation_id,start_id,start_label,end_id,end_label,times
196008,1773,Tweet,97358,User,
196009,1773,Tweet,97401,User,
196010,1775,Tweet,97358,User,
196011,1775,Tweet,57911,User,
196012,1775,Tweet,97401,User,
196013,1776,Tweet,97336,User,
196014,1776,Tweet,97154,User,
196015,1778,Tweet,56743,User,
196016,1779,Tweet,89442,User,
196017,1780,Tweet,57263,User,
196018,1781,Tweet,95162,User,
196019,1783,Tweet,97359,User,
196020,1785,Tweet,97360,User,
196021,1786,Tweet,97199,User,
196022,1786,Tweet,57724,User,
196023,1787,Tweet,97238,User,
196024,1788,Tweet,97361,User,
196025,1789,Tweet,57910,User,
196026,1790,Tweet,57775,User,
196027,1795,Tweet,97363,User,
196028,1796,Tweet,92190,User,
196029,1798,Tweet,97349,User,
196030,1799,Tweet,56586,User,
196031,1800,Tweet,97364,User,
196032,1801,Tweet,97365,User,
196033,1802,Tweet,56586,User,
196034,1803,Tweet,57910,User,
196035,1804,Tweet,57910,User,
196036,1806,Tweet,57775,User,
196037,1806,Tweet,97449,User,
196038,1807,Tweet,97366,User,
196039,1808,Tweet,56589,User,
196040,1811,Tweet,57855,User,
196041,1814,Tweet,92190,User,
196042,1815,Tweet,97336,User,
196043,1815,Tweet,64465,User,
196044,1816,Tweet,57742,User,
196045,1818,Tweet,69759,User,
196046,1822,Tweet,97367,User,
196047,1822,Tweet,79100,User,
196048,1824,Tweet,97368,User,
196049,1831,Tweet,56586,User,
196050,1832,Tweet,97373,User,
196051,1835,Tweet,97352,User,
196052,1835,Tweet,56965,User,
196053,1839,Tweet,97345,User,
196054,1842,Tweet,97336,User,
196055,1842,Tweet,64465,User,
196056,1844,Tweet,97374,User,
196057,1846,Tweet,97375,User,
196058,1847,Tweet,97376,User,
196059,1849,Tweet,56586,User,
196060,1853,Tweet,56586,User,
196061,1855,Tweet,97378,User,
196062,1857,Tweet,57780,User,
196063,1859,Tweet,59020,User,
196064,1860,Tweet,57934,User,
196065,1867,Tweet,97159,User,
196066,1870,Tweet,97380,User,
196067,1872,Tweet,58108,User,
196068,1874,Tweet,56697,User,
196069,1875,Tweet,59020,User,
196070,1878,Tweet,97381,User,
196071,1879,Tweet,97382,User,
196072,1882,Tweet,56586,User,
196073,1884,Tweet,57775,User,
196074,1884,Tweet,57839,User,
196075,1886,Tweet,97383,User,
196076,1888,Tweet,97384,User,
196077,1893,Tweet,97385,User,
196078,1895,Tweet,88298,User,
196079,1895,Tweet,64421,User,
196080,1897,Tweet,97386,User,
196081,1900,Tweet,97388,User,
196082,1903,Tweet,56922,User,
196083,1904,Tweet,97388,User,
196084,1909,Tweet,97389,User,
196085,1911,Tweet,97390,User,
196086,1913,Tweet,97391,User,
196087,1922,Tweet,57933,User,
196088,1923,Tweet,57910,User,
196089,1923,Tweet,97258,User,
196090,1926,Tweet,97392,User,
196091,1928,Tweet,97393,User,
196092,1933,Tweet,76766,User,
196093,1937,Tweet,58051,User,
196094,1940,Tweet,97394,User,
196095,1943,Tweet,97395,User,
196096,1944,Tweet,97394,User,
196097,1946,Tweet,97161,User,
196098,1949,Tweet,57775,User,
196099,1951,Tweet,98634,User,
196100,1955,Tweet,57775,User,
196101,1957,Tweet,97396,User,
196102,1958,Tweet,79100,User,
196103,1959,Tweet,79100,User,
196104,1960,Tweet,97397,User,
196105,1961,Tweet,59020,User,
196106,1963,Tweet,97398,User,
196107,1965,Tweet,97399,User,
196108,1966,Tweet,97400,User,
196109,1967,Tweet,96479,User,
196110,1969,Tweet,58051,User,
196111,1970,Tweet,97401,User,
196112,1970,Tweet,97358,User,
196113,1971,Tweet,97402,User,
196114,1972,Tweet,97403,User,
196115,1980,Tweet,56965,User,
196116,1985,Tweet,92190,User,
196117,1987,Tweet,97404,User,
196118,1993,Tweet,64421,User,
196119,1995,Tweet,97406,User,
196120,1996,Tweet,64465,User,
196121,1997,Tweet,57775,User,
196122,1997,Tweet,97160,User,
196123,1999,Tweet,97160,User,
196124,2001,Tweet,97238,User,
196125,2002,Tweet,56586,User,
196126,2003,Tweet,57933,User,
196127,2007,Tweet,97407,User,
196128,2009,Tweet,97408,User,
196129,2013,Tweet,97238,User,
196130,2018,Tweet,97428,User,
196131,2018,Tweet,58052,User,
196132,2020,Tweet,97410,User,
196133,2020,Tweet,57125,User,
196134,2023,Tweet,92190,User,
196135,2028,Tweet,92190,User,
196136,2031,Tweet,97411,User,
196137,2032,Tweet,56965,User,
196138,2036,Tweet,97231,User,
196139,2038,Tweet,97412,User,
196140,2039,Tweet,97231,User,
196141,2040,Tweet,56578,User,
196142,2041,Tweet,97413,User,
196143,2046,Tweet,97405,User,
196144,2049,Tweet,97414,User,
196145,2050,Tweet,97415,User,
196146,2055,Tweet,97416,User,
196147,2063,Tweet,57775,User,
196148,2065,Tweet,88104,User,
196149,2065,Tweet,97593,User,
196150,2066,Tweet,56987,User,
196151,2070,Tweet,97358,User,
196152,2070,Tweet,97238,User,
196153,2072,Tweet,56823,User,
196154,2074,Tweet,96774,User,
196155,2075,Tweet,79286,User,
196156,2076,Tweet,57849,User,
196157,2078,Tweet,97418,User,
196158,2086,Tweet,57263,User,
196159,2086,Tweet,58108,User,
196160,2088,Tweet,97200,User,
196161,2089,Tweet,57849,User,
196162,2100,Tweet,97419,User,
196163,2100,Tweet,58003,User,
196164,2101,Tweet,57775,User,
196165,2105,Tweet,57775,User,
196166,2107,Tweet,97420,User,
196167,2108,Tweet,57577,User,
196168,2112,Tweet,56965,User,
196169,2113,Tweet,58108,User,
196170,2120,Tweet,89567,User,
196171,2121,Tweet,66229,User,
196172,2123,Tweet,97422,User,
196173,2125,Tweet,97161,User,
196174,2131,Tweet,97420,User,
196175,2139,Tweet,69197,User,
196176,2140,Tweet,58108,User,
196177,2141,Tweet,69197,User,
196178,2142,Tweet,63222,User,
196179,2143,Tweet,58051,User,
196180,2144,Tweet,97424,User,
196181,2147,Tweet,96534,User,
196182,2149,Tweet,89469,User,
196183,2150,Tweet,97425,User,
196184,2151,Tweet,97426,User,
196185,2152,Tweet,97427,User,
196186,2152,Tweet,57910,User,
196187,2152,Tweet,56965,User,
196188,2153,Tweet,92190,User,
196189,2154,Tweet,57577,User,
196190,2155,Tweet,97488,User,
196191,2157,Tweet,97428,User,
196192,2157,Tweet,57577,User,
196193,2158,Tweet,88314,User,
196194,2160,Tweet,97430,User,
196195,2161,Tweet,97159,User,
196196,2168,Tweet,97431,User,
