reply_to_id,start_id,start_label,end_id,end_label
193714,15788,Tweet,69698,User
193715,15817,Tweet,58501,User
193716,15832,Tweet,87002,User
193717,15847,Tweet,58261,User
193718,15925,Tweet,69408,User
193719,15928,Tweet,96147,User
193720,16045,Tweet,69857,User
193721,16051,Tweet,96126,User
193722,16077,Tweet,96141,User
193723,16080,Tweet,71359,User
193724,16081,Tweet,96126,User
193725,16089,Tweet,73478,User
193726,16124,Tweet,96141,User
193727,16143,Tweet,65721,User
193728,16149,Tweet,69952,User
193729,16155,Tweet,96126,User
193730,16185,Tweet,96427,User
193731,16207,Tweet,96120,User
193732,16217,Tweet,61807,User
193733,16220,Tweet,89442,User
193734,16238,Tweet,61807,User
193735,16242,Tweet,69597,User
193736,16293,Tweet,96126,User
193737,16349,Tweet,96126,User
193738,16395,Tweet,72420,User
193739,16402,Tweet,65784,User
193740,16411,Tweet,97054,User
193741,16433,Tweet,75841,User
193742,16446,Tweet,97054,User
193743,16459,Tweet,96427,User
193744,16488,Tweet,96114,User
193745,16503,Tweet,70304,User
193746,16506,Tweet,57692,User
193747,16532,Tweet,70693,User
193748,16533,Tweet,96120,User
193749,16541,Tweet,96155,User
193750,16550,Tweet,69983,User
193751,16562,Tweet,64463,User
193752,16563,Tweet,70327,User
193753,16564,Tweet,70219,User
193754,16589,Tweet,96231,User
193755,16599,Tweet,70362,User
193756,16615,Tweet,96231,User
193757,16684,Tweet,96114,User
193758,16690,Tweet,70442,User
193759,16698,Tweet,69985,User
193760,16723,Tweet,70146,User
193761,16792,Tweet,62115,User
193762,16809,Tweet,96153,User
193763,16829,Tweet,70459,User
193764,16860,Tweet,70593,User
193765,16888,Tweet,96486,User
193766,16913,Tweet,96195,User
193767,16983,Tweet,70708,User
193768,16987,Tweet,70712,User
193769,17109,Tweet,70824,User
193770,17137,Tweet,70851,User
193771,17159,Tweet,65600,User
193772,17167,Tweet,58656,User
193773,17186,Tweet,69597,User
193774,17196,Tweet,96167,User
193775,17198,Tweet,96114,User
193776,17204,Tweet,88841,User
193777,17228,Tweet,96126,User
193778,17235,Tweet,96231,User
193779,17236,Tweet,96114,User
193780,17262,Tweet,61065,User
193781,17283,Tweet,96317,User
193782,17321,Tweet,96177,User
193783,17328,Tweet,71027,User
193784,17340,Tweet,96231,User
193785,17347,Tweet,71114,User
193786,17365,Tweet,71055,User
193787,17386,Tweet,96231,User
193788,17406,Tweet,71093,User
193789,17409,Tweet,96118,User
193790,17458,Tweet,96126,User
193791,17487,Tweet,97571,User
193792,17502,Tweet,71178,User
193793,17509,Tweet,72841,User
193794,17535,Tweet,96335,User
193795,17558,Tweet,96114,User
193796,17623,Tweet,69926,User
193797,17646,Tweet,88229,User
193798,17671,Tweet,89460,User
193799,17707,Tweet,96126,User
193800,17708,Tweet,70376,User
193801,17717,Tweet,71434,User
193802,17736,Tweet,96278,User
193803,17743,Tweet,96452,User
193804,17763,Tweet,96324,User
193805,17767,Tweet,96126,User
193806,17774,Tweet,96272,User
193807,17780,Tweet,96153,User
193808,17788,Tweet,96126,User
193809,17816,Tweet,96391,User
193810,17817,Tweet,71450,User
193811,17847,Tweet,71473,User
193812,17851,Tweet,70327,User
193813,17866,Tweet,96126,User
193814,17870,Tweet,96126,User
193815,17880,Tweet,71502,User
193816,17925,Tweet,96126,User
